2026-04-18 01:48:27 | INFO | 🟢 HOLD_ADD   | RECLTD          | ₹    373.30 | Above all weekly EMAs
2026-04-18 01:48:29 | INFO | 🟢 HOLD_ADD   | POLYCAB         | ₹   8182.50 | Above all weekly EMAs
2026-04-18 01:48:31 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    632.90 | Above all weekly EMAs
2026-04-18 01:48:33 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1561.10 | Below 40W EMA
2026-04-18 01:48:35 | INFO | 🟢 HOLD_ADD   | AXISBANK        | ₹   1359.10 | Above all weekly EMAs
2026-04-18 01:48:37 | INFO | 🔴 EXIT       | BAJFINANCE      | ₹    908.25 | Below 40W EMA
2026-04-18 01:48:39 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹     95.49 | Above all weekly EMAs
2026-04-18 01:48:42 | INFO | 🔴 EXIT       | ADANIENT        | ₹   2218.30 | Below 40W EMA
2026-04-18 01:48:44 | INFO | 🔴 EXIT       | COHANCE         | ₹    390.55 | Below 40W EMA
2026-04-18 01:48:46 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1675.50 | EMAs converging, no breakout yet
2026-04-18 01:48:48 | INFO | 🔴 EXIT       | TRENT           | ₹   4107.70 | Below 40W EMA
2026-04-18 01:48:50 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    284.05 | Above all weekly EMAs
2026-04-18 01:48:52 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    616.45 | Below 40W EMA
2026-04-18 01:48:54 | INFO | 🟢 HOLD_ADD   | AEGISLOG        | ₹    709.30 | Above all weekly EMAs
2026-04-18 01:48:57 | INFO | 🔴 EXIT       | KAYNES          | ₹   4214.40 | Below 40W EMA
2026-04-18 01:48:59 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    212.12 | Above all weekly EMAs
2026-04-18 01:49:01 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1442.30 | Below 40W EMA
2026-04-18 01:49:03 | INFO | 🟢 HOLD_ADD   | PFC             | ₹    464.85 | Above all weekly EMAs
2026-04-18 01:49:05 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    438.75 | Above all weekly EMAs
2026-04-18 01:49:07 | INFO | 🔴 EXIT       | INOXWIND        | ₹     97.90 | Below 40W EMA
2026-04-18 01:49:09 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   5446.50 | Below 40W EMA
2026-04-18 01:49:12 | INFO | 🟢 HOLD_ADD   | HAL             | ₹   4388.10 | Above all weekly EMAs
2026-04-18 01:49:14 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1036.95 | Above all weekly EMAs
2026-04-18 01:49:16 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    383.60 | Below 40W EMA
2026-04-18 01:49:18 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹   1039.00 | Above all weekly EMAs
2026-04-18 01:49:20 | INFO | 🔴 EXIT       | COLPAL          | ₹   2106.00 | Below 40W EMA
2026-04-18 01:49:22 | INFO | 🟠 CAUTIOUS   | INDUSTOWER      | ₹    412.25 | Below 20W EMA
2026-04-18 01:49:25 | INFO | 🟡 WAIT       | SUPREMEIND      | ₹   3709.00 | EMAs converging, no breakout yet
2026-04-18 01:49:27 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    318.10 | Above all weekly EMAs
2026-04-18 01:49:29 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    173.33 | Above all weekly EMAs
2026-04-18 01:49:31 | INFO | 🟢 HOLD_ADD   | EICHERMOT       | ₹   7189.50 | Above all weekly EMAs
2026-04-18 01:49:33 | INFO | 🟡 WAIT       | NHPC            | ₹     83.56 | EMAs converging, no breakout yet
2026-04-18 01:49:35 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7029.50 | Above all weekly EMAs
2026-04-18 01:49:37 | INFO | 🟢 HOLD_ADD   | JPPOWER         | ₹     19.20 | Above all weekly EMAs
2026-04-18 01:49:40 | WARNING | TMCV: Insufficient data for analysis
2026-04-18 01:49:42 | INFO | 🟡 WAIT       | FACT            | ₹    902.75 | EMAs converging, no breakout yet
2026-04-18 01:49:44 | INFO | 🟣 FADING     | ASHOKLEY        | ₹    174.78 | Below 10W EMA - momentum fading
2026-04-18 01:49:46 | INFO | 🟢 HOLD_ADD   | CHENNPETRO      | ₹   1041.85 | Above all weekly EMAs
2026-04-18 01:49:48 | INFO | ✅ BULLISH    | SIEMENS         | ₹   3707.90 | Resistance breakout with EMAs converging
2026-04-18 01:49:50 | INFO | 🟢 HOLD_ADD   | HINDCOPPER      | ₹    569.60 | Above all weekly EMAs
2026-04-18 01:49:53 | INFO | 🟡 WAIT       | RADICO          | ₹   3186.90 | EMAs converging, no breakout yet
2026-04-18 01:49:55 | INFO | 🔴 EXIT       | COFORGE         | ₹   1316.80 | Below 40W EMA
2026-04-18 01:49:57 | INFO | ✅ BULLISH    | NTPCGREEN       | ₹    111.96 | Resistance breakout with EMAs converging
2026-04-18 01:49:59 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     89.78 | Above all weekly EMAs
2026-04-18 01:50:01 | INFO | 🟡 WAIT       | IDEA            | ₹      9.61 | EMAs converging, no breakout yet
2026-04-18 01:50:03 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    438.75 | Above all weekly EMAs
2026-04-18 01:50:05 | INFO | 🔴 EXIT       | UNITDSPR        | ₹   1302.90 | Below 40W EMA
2026-04-18 01:50:07 | INFO | 🔴 EXIT       | VMM             | ₹    118.95 | Below 40W EMA
2026-04-18 01:50:10 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1270.00 | Above all weekly EMAs
2026-04-18 01:50:12 | INFO | 🔴 EXIT       | INDIGO          | ₹   4638.40 | Below 40W EMA
