2026-06-27 02:50:48 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-06-27 02:50:48 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-06-27 02:50:51 | INFO | 🟡 WAIT       | MMM             | $    164.01 | EMAs converging, no breakout yet
2026-06-27 02:50:53 | INFO | 🔴 EXIT       | AOS             | $     61.72 | Below 40W EMA
2026-06-27 02:50:56 | INFO | 🔴 EXIT       | ABT             | $     94.12 | Below 40W EMA
2026-06-27 02:50:58 | INFO | 🟢 HOLD_ADD   | ABBV            | $    253.35 | Above all weekly EMAs
2026-06-27 02:51:00 | INFO | 🔴 EXIT       | ACN             | $    128.98 | Below 40W EMA
2026-06-27 02:51:02 | INFO | 🔴 EXIT       | ADBE            | $    202.73 | Below 40W EMA
2026-06-27 02:51:05 | INFO | 🟢 HOLD_ADD   | AMD             | $    521.58 | Above all weekly EMAs
2026-06-27 02:51:07 | INFO | 🟢 HOLD_ADD   | AES             | $     14.67 | Above all weekly EMAs
2026-06-27 02:51:09 | INFO | 🟢 HOLD_ADD   | AFL             | $    120.15 | Above all weekly EMAs
2026-06-27 02:51:12 | INFO | 🟡 WAIT       | A               | $    136.01 | EMAs converging, no breakout yet
2026-06-27 02:51:14 | INFO | 🟡 WAIT       | APD             | $    277.79 | EMAs converging, no breakout yet
2026-06-27 02:51:16 | INFO | 🟢 HOLD_ADD   | ABNB            | $    145.56 | Above all weekly EMAs
2026-06-27 02:51:18 | INFO | 🟠 CAUTIOUS   | AKAM            | $    113.29 | Below 20W EMA
2026-06-27 02:51:21 | INFO | 🔴 EXIT       | ALB             | $    133.70 | Below 40W EMA
2026-06-27 02:51:23 | INFO | 🟢 HOLD_ADD   | ARE             | $     55.22 | Above all weekly EMAs
2026-06-27 02:51:25 | INFO | 🟡 WAIT       | ALGN            | $    178.43 | EMAs converging, no breakout yet
2026-06-27 02:51:28 | INFO | 🔴 EXIT       | ALLE            | $    139.71 | Below 40W EMA
