2026-04-11 01:31:47 | INFO | 🔴 EXIT       | MAZDOCK         | ₹   2470.20 | Below 40W EMA
2026-04-11 01:31:49 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1451.20 | Below 40W EMA
2026-04-11 01:31:51 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    417.00 | Above all weekly EMAs
2026-04-11 01:31:53 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  11589.00 | EMAs converging, no breakout yet
2026-04-11 01:31:56 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   5427.10 | Below 40W EMA
2026-04-11 01:31:58 | INFO | 🟢 HOLD_ADD   | BEL             | ₹    442.45 | Above all weekly EMAs
2026-04-11 01:32:00 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   4067.00 | Above all weekly EMAs
2026-04-11 01:32:02 | INFO | 🔴 EXIT       | TRENT           | ₹   3916.50 | Below 40W EMA
2026-04-11 01:32:04 | INFO | 🟢 HOLD_ADD   | HEROMOTOCO      | ₹   5466.50 | Above all weekly EMAs
2026-04-11 01:32:06 | INFO | 🔴 EXIT       | HINDUNILVR      | ₹   2155.30 | Below 40W EMA
2026-04-11 01:32:09 | INFO | 🟢 HOLD_ADD   | PFC             | ₹    434.90 | Above all weekly EMAs
2026-04-11 01:32:11 | INFO | 🔴 EXIT       | KAYNES          | ₹   3896.30 | Below 40W EMA
2026-04-11 01:32:13 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1464.60 | Below 40W EMA
2026-04-11 01:32:15 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    581.05 | Above all weekly EMAs
2026-04-11 01:32:17 | INFO | 🟡 WAIT       | IDEA            | ₹      9.25 | EMAs converging, no breakout yet
2026-04-11 01:32:19 | INFO | 🟡 WAIT       | BHEL            | ₹    284.71 | EMAs converging, no breakout yet
2026-04-11 01:32:21 | INFO | 🔴 EXIT       | BPCL            | ₹    299.35 | Below 40W EMA
2026-04-11 01:32:23 | INFO | 🟢 HOLD_ADD   | FORCEMOT        | ₹  22617.00 | Above all weekly EMAs
2026-04-11 01:32:26 | INFO | 🟡 WAIT       | ANGELONE        | ₹    280.99 | EMAs converging, no breakout yet
2026-04-11 01:32:28 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    302.75 | Above all weekly EMAs
2026-04-11 01:32:30 | INFO | 🔴 EXIT       | OLECTRA         | ₹   1184.25 | Below 40W EMA
2026-04-11 01:32:32 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹    953.35 | Below 40W EMA
