2026-05-02 02:05:07 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    298.80 | Above all weekly EMAs
2026-05-02 02:05:09 | INFO | 🟡 WAIT       | MAZDOCK         | ₹   2738.00 | EMAs converging, no breakout yet
2026-05-02 02:05:11 | INFO | 🟠 CAUTIOUS   | FORCEMOT        | ₹  19970.00 | Below 20W EMA
2026-05-02 02:05:13 | WARNING | GROWW: Insufficient data for analysis
2026-05-02 02:05:15 | INFO | 🔴 EXIT       | DIXON           | ₹  11220.00 | Below 40W EMA
2026-05-02 02:05:18 | INFO | 🟢 HOLD_ADD   | NETWEB          | ₹   4069.00 | Above all weekly EMAs
2026-05-02 02:05:20 | INFO | 🔴 EXIT       | JIOFIN          | ₹    247.18 | Below 40W EMA
2026-05-02 02:05:22 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    145.38 | EMAs converging, no breakout yet
2026-05-02 02:05:24 | INFO | 🟢 HOLD_ADD   | CHENNPETRO      | ₹   1123.05 | Above all weekly EMAs
2026-05-02 02:05:26 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2275.00 | Below 40W EMA
2026-05-02 02:05:28 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹   1037.00 | Above all weekly EMAs
2026-05-02 02:05:31 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1741.70 | Below 40W EMA
2026-05-02 02:05:33 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   4078.80 | Above all weekly EMAs
2026-05-02 02:05:35 | WARNING | TMPV: Insufficient data for analysis
2026-05-02 02:05:37 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  33570.00 | Above all weekly EMAs
2026-05-02 02:05:40 | INFO | 🟢 HOLD_ADD   | PFC             | ₹    449.00 | Above all weekly EMAs
2026-05-02 02:05:42 | INFO | 🟡 WAIT       | IDEA            | ₹     10.18 | EMAs converging, no breakout yet
2026-05-02 02:05:44 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    287.60 | Above all weekly EMAs
2026-05-02 02:05:46 | INFO | 🟢 HOLD_ADD   | HINDZINC        | ₹    596.00 | Above all weekly EMAs
2026-05-02 02:05:48 | INFO | 🔴 EXIT       | BPCL            | ₹    301.70 | Below 40W EMA
2026-05-02 02:05:50 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1890.00 | Above all weekly EMAs
2026-05-02 02:05:53 | INFO | 🟡 WAIT       | TECHM           | ₹   1473.80 | EMAs converging, no breakout yet
2026-05-02 02:05:55 | INFO | 🔴 EXIT       | KAYNES          | ₹   4045.00 | Below 40W EMA
2026-05-02 02:05:57 | INFO | 🟢 HOLD_ADD   | TITAN           | ₹   4388.00 | Above all weekly EMAs
2026-05-02 02:05:59 | INFO | 🟠 CAUTIOUS   | EICHERMOT       | ₹   7110.00 | Below 20W EMA
2026-05-02 02:06:01 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1231.00 | Above all weekly EMAs
2026-05-02 02:06:03 | INFO | ✅ BULLISH    | VBL             | ₹    516.30 | Resistance breakout with EMAs converging
2026-05-02 02:06:06 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    589.00 | Below 40W EMA
2026-05-02 02:06:08 | INFO | 🔴 EXIT       | ITC             | ₹    315.20 | Below 40W EMA
2026-05-02 02:06:10 | INFO | 🟢 HOLD_ADD   | MOTILALOFS      | ₹    805.95 | Above all weekly EMAs
2026-05-02 02:06:12 | WARNING | EMMVEE: Insufficient data for analysis
2026-05-02 02:06:14 | INFO | 🟠 CAUTIOUS   | ASHOKLEY        | ₹    162.55 | Below 20W EMA
2026-05-02 02:06:17 | INFO | 🟢 HOLD_ADD   | HAL             | ₹   4330.00 | Above all weekly EMAs
2026-05-02 02:06:19 | INFO | ✅ BULLISH    | OFSS            | ₹   9736.00 | Resistance breakout with EMAs converging
2026-05-02 02:06:21 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4875.00 | Above all weekly EMAs
2026-05-02 02:06:23 | INFO | 🟢 HOLD_ADD   | HEG             | ₹    594.00 | Above all weekly EMAs
2026-05-02 02:06:25 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2719.60 | EMAs converging, no breakout yet
2026-05-02 02:06:27 | INFO | 🟢 HOLD_ADD   | COCHINSHIP      | ₹   1740.00 | Above all weekly EMAs
2026-05-02 02:06:30 | INFO | 🟢 HOLD_ADD   | NESTLEIND       | ₹   1463.80 | Above all weekly EMAs
2026-05-02 02:06:32 | INFO | 🟢 HOLD_ADD   | POLYCAB         | ₹   8088.50 | Above all weekly EMAs
2026-05-02 02:06:34 | INFO | 🟠 CAUTIOUS   | TVSMOTOR        | ₹   3492.00 | Below 20W EMA
2026-05-02 02:06:36 | INFO | 🔴 EXIT       | INOXWIND        | ₹    100.95 | Below 40W EMA
2026-05-02 02:06:38 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    264.10 | EMAs converging, no breakout yet
2026-05-02 02:06:40 | INFO | 🟡 WAIT       | RECLTD          | ₹    355.20 | EMAs converging, no breakout yet
2026-05-02 02:06:43 | INFO | 🟡 WAIT       | GRASIM          | ₹   2794.00 | EMAs converging, no breakout yet
2026-05-02 02:06:45 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    920.00 | EMAs converging, no breakout yet
2026-05-02 02:06:47 | INFO | 🔴 EXIT       | CDSL            | ₹   1273.80 | Below 40W EMA
2026-05-02 02:06:50 | INFO | 🔴 EXIT       | WIPRO           | ₹    201.20 | Below 40W EMA
2026-05-02 02:06:52 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    399.90 | Above all weekly EMAs
2026-05-02 02:06:54 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    319.00 | Above all weekly EMAs
2026-05-02 02:06:56 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7650.00 | EMAs converging, no breakout yet
2026-05-02 02:06:58 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    737.00 | Above all weekly EMAs
2026-05-02 02:07:00 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   4475.00 | Above all weekly EMAs
