2026-06-06 02:48:05 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-06-06 02:48:06 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-06-06 02:48:08 | INFO | 🟡 WAIT       | MMM             | $    153.76 | EMAs converging, no breakout yet
2026-06-06 02:48:10 | INFO | 🔴 EXIT       | AOS             | $     57.20 | Below 40W EMA
2026-06-06 02:48:13 | INFO | 🔴 EXIT       | ABT             | $     91.07 | Below 40W EMA
2026-06-06 02:48:15 | INFO | 🟡 WAIT       | ABBV            | $    227.23 | EMAs converging, no breakout yet
2026-06-06 02:48:17 | INFO | 🔴 EXIT       | ACN             | $    178.25 | Below 40W EMA
2026-06-06 02:48:19 | INFO | 🔴 EXIT       | ADBE            | $    251.44 | Below 40W EMA
2026-06-06 02:48:21 | INFO | 🟢 HOLD_ADD   | AMD             | $    466.38 | Above all weekly EMAs
2026-06-06 02:48:24 | INFO | 🟢 HOLD_ADD   | AES             | $     14.67 | Above all weekly EMAs
2026-06-06 02:48:26 | INFO | 🟢 HOLD_ADD   | AFL             | $    118.24 | Above all weekly EMAs
2026-06-06 02:48:28 | INFO | 🟡 WAIT       | A               | $    135.44 | EMAs converging, no breakout yet
2026-06-06 02:48:30 | INFO | 🟠 CAUTIOUS   | APD             | $    282.35 | Below 20W EMA
2026-06-06 02:48:32 | INFO | 🟡 WAIT       | ABNB            | $    133.54 | EMAs converging, no breakout yet
2026-06-06 02:48:34 | INFO | 🟢 HOLD_ADD   | AKAM            | $    149.32 | Above all weekly EMAs
2026-06-06 02:48:37 | INFO | 🟠 CAUTIOUS   | ALB             | $    155.44 | Below 20W EMA
2026-06-06 02:48:39 | INFO | 🔴 EXIT       | ARE             | $     51.28 | Below 40W EMA
2026-06-06 02:48:41 | INFO | 🟡 WAIT       | ALGN            | $    167.74 | EMAs converging, no breakout yet
2026-06-06 02:48:43 | INFO | 🔴 EXIT       | ALLE            | $    130.16 | Below 40W EMA
2026-06-06 02:48:45 | INFO | 🟢 HOLD_ADD   | LNT             | $     72.87 | Above all weekly EMAs
2026-06-06 02:48:47 | INFO | 🟢 HOLD_ADD   | ALL             | $    221.01 | Above all weekly EMAs
2026-06-06 02:48:49 | INFO | 🟢 HOLD_ADD   | GOOGL           | $    368.53 | Above all weekly EMAs
2026-06-06 02:48:52 | INFO | 🟢 HOLD_ADD   | GOOG            | $    365.76 | Above all weekly EMAs
2026-06-06 02:48:54 | INFO | 🟢 HOLD_ADD   | MO              | $     72.19 | Above all weekly EMAs
2026-06-06 02:48:56 | INFO | 🟣 FADING     | AMZN            | $    246.03 | Below 10W EMA - momentum fading
2026-06-06 02:48:58 | INFO | 🔴 EXIT       | AMCR            | $     38.13 | Below 40W EMA
2026-06-06 02:49:00 | INFO | 🟣 FADING     | AEE             | $    109.27 | Below 10W EMA - momentum fading
2026-06-06 02:49:03 | INFO | 🟣 FADING     | AEP             | $    129.14 | Below 10W EMA - momentum fading
2026-06-06 02:49:05 | INFO | 🟡 WAIT       | AXP             | $    310.66 | EMAs converging, no breakout yet
2026-06-06 02:49:07 | INFO | 🟡 WAIT       | AIG             | $     75.49 | EMAs converging, no breakout yet
2026-06-06 02:49:09 | INFO | ✅ BULLISH    | AMT             | $    194.12 | Resistance breakout with EMAs converging
2026-06-06 02:49:11 | INFO | 🟡 WAIT       | AWK             | $    124.47 | EMAs converging, no breakout yet
2026-06-06 02:49:14 | INFO | 🟡 WAIT       | AMP             | $    454.66 | EMAs converging, no breakout yet
2026-06-06 02:49:16 | INFO | 🟣 FADING     | AME             | $    226.55 | Below 10W EMA - momentum fading
2026-06-06 02:49:18 | INFO | 🟢 HOLD_ADD   | AMGN            | $    349.58 | Above all weekly EMAs
2026-06-06 02:49:20 | INFO | 🟢 HOLD_ADD   | APH             | $    138.81 | Above all weekly EMAs
2026-06-06 02:49:22 | INFO | 🟢 HOLD_ADD   | ADI             | $    401.39 | Above all weekly EMAs
2026-06-06 02:49:24 | INFO | 🔴 EXIT       | AON             | $    328.53 | Below 40W EMA
2026-06-06 02:49:27 | INFO | 🟣 FADING     | APA             | $     36.57 | Below 10W EMA - momentum fading
2026-06-06 02:49:29 | INFO | 🟡 WAIT       | APO             | $    128.03 | EMAs converging, no breakout yet
2026-06-06 02:49:31 | INFO | 🟢 HOLD_ADD   | AAPL            | $    307.34 | Above all weekly EMAs
2026-06-06 02:49:33 | INFO | 🟢 HOLD_ADD   | AMAT            | $    453.01 | Above all weekly EMAs
