2026-07-25 02:15:38 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-07-25 02:15:38 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-07-25 02:15:41 | INFO | 🟡 WAIT       | MMM             | $    172.62 | EMAs converging, no breakout yet
2026-07-25 02:15:43 | INFO | 🔴 EXIT       | AOS             | $     60.78 | Below 40W EMA
2026-07-25 02:15:45 | INFO | 🔴 EXIT       | ABT             | $    103.06 | Below 40W EMA
2026-07-25 02:15:48 | INFO | 🟢 HOLD_ADD   | ABBV            | $    259.36 | Above all weekly EMAs
2026-07-25 02:15:50 | INFO | 🔴 EXIT       | ACN             | $    146.99 | Below 40W EMA
2026-07-25 02:15:52 | INFO | 🔴 EXIT       | ADBE            | $    225.11 | Below 40W EMA
2026-07-25 02:15:54 | INFO | 🟢 HOLD_ADD   | AMD             | $    521.95 | Above all weekly EMAs
2026-07-25 02:15:56 | INFO | 🟢 HOLD_ADD   | AES             | $     14.84 | Above all weekly EMAs
2026-07-25 02:15:58 | INFO | 🟢 HOLD_ADD   | AFL             | $    125.60 | Above all weekly EMAs
2026-07-25 02:16:00 | INFO | 🟡 WAIT       | A               | $    138.57 | EMAs converging, no breakout yet
2026-07-25 02:16:03 | INFO | 🟢 HOLD_ADD   | APD             | $    297.87 | Above all weekly EMAs
2026-07-25 02:16:05 | INFO | 🟣 FADING     | ABNB            | $    141.10 | Below 10W EMA - momentum fading
2026-07-25 02:16:07 | INFO | 🟠 CAUTIOUS   | AKAM            | $    115.37 | Below 20W EMA
2026-07-25 02:16:09 | INFO | 🔴 EXIT       | ALB             | $    114.85 | Below 40W EMA
2026-07-25 02:16:11 | INFO | 🔴 EXIT       | ARE             | $     50.94 | Below 40W EMA
2026-07-25 02:16:13 | INFO | 🟡 WAIT       | ALGN            | $    167.01 | EMAs converging, no breakout yet
2026-07-25 02:16:16 | INFO | 🟢 HOLD_ADD   | ALLE            | $    153.36 | Above all weekly EMAs
2026-07-25 02:16:18 | INFO | 🟢 HOLD_ADD   | LNT             | $     74.94 | Above all weekly EMAs
2026-07-25 02:16:20 | INFO | 🟢 HOLD_ADD   | ALL             | $    259.97 | Above all weekly EMAs
2026-07-25 02:16:22 | INFO | 🔴 EXIT       | GOOGL           | $    319.74 | Below 40W EMA
2026-07-25 02:16:24 | INFO | 🔴 EXIT       | GOOG            | $    319.09 | Below 40W EMA
