2026-06-20 02:40:33 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-06-20 02:40:33 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-06-20 02:40:33 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 502 symbols
2026-06-20 02:40:33 | INFO | NIFTY 500 source: NSE live list (502 stocks)
2026-06-20 02:40:36 | INFO | 🟡 WAIT       | 360ONE          | ₹   1145.10 | EMAs converging, no breakout yet
2026-06-20 02:40:38 | INFO | 🟡 WAIT       | 3MINDIA         | ₹  33125.00 | EMAs converging, no breakout yet
2026-06-20 02:40:40 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7248.00 | Above all weekly EMAs
2026-06-20 02:40:42 | INFO | 🔴 EXIT       | ACC             | ₹   1343.30 | Below 40W EMA
2026-06-20 02:40:45 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    337.65 | Above all weekly EMAs
2026-06-20 02:40:47 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4687.00 | Above all weekly EMAs
2026-06-20 02:40:49 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1871.60 | EMAs converging, no breakout yet
2026-06-20 02:40:51 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1033.05 | Above all weekly EMAs
2026-06-20 02:40:53 | INFO | 🔴 EXIT       | AWL             | ₹    184.31 | Below 40W EMA
2026-06-20 02:40:55 | INFO | 🟡 WAIT       | AADHARHFC       | ₹    515.10 | EMAs converging, no breakout yet
2026-06-20 02:40:57 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    484.50 | Above all weekly EMAs
2026-06-20 02:40:59 | INFO | 🟢 HOLD_ADD   | AAVAS           | ₹   1471.90 | Above all weekly EMAs
2026-06-20 02:41:02 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  26215.00 | Below 40W EMA
2026-06-20 02:41:04 | INFO | 🟢 HOLD_ADD   | ACE             | ₹    975.65 | Above all weekly EMAs
2026-06-20 02:41:06 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3246.20 | Above all weekly EMAs
2026-06-20 02:41:08 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1507.40 | Above all weekly EMAs
2026-06-20 02:41:10 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3038.40 | Above all weekly EMAs
2026-06-20 02:41:12 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1502.40 | Above all weekly EMAs
2026-06-20 02:41:15 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1835.30 | Above all weekly EMAs
2026-06-20 02:41:17 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    231.76 | Above all weekly EMAs
2026-06-20 02:41:19 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    727.30 | Above all weekly EMAs
2026-06-20 02:41:21 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    375.90 | Above all weekly EMAs
2026-06-20 02:41:23 | INFO | 🔴 EXIT       | ABFRL           | ₹     60.64 | Below 40W EMA
2026-06-20 02:41:25 | INFO | 🔴 EXIT       | ABLBL           | ₹     97.18 | Below 40W EMA
2026-06-20 02:41:27 | INFO | 🔴 EXIT       | ABREL           | ₹   1279.50 | Below 40W EMA
2026-06-20 02:41:29 | INFO | 🟢 HOLD_ADD   | ABSLAMC         | ₹   1180.60 | Above all weekly EMAs
2026-06-20 02:41:32 | WARNING | CPPLUS: Insufficient data for analysis
2026-06-20 02:41:34 | INFO | 🟢 HOLD_ADD   | AEGISLOG        | ₹   1007.80 | Above all weekly EMAs
2026-06-20 02:41:36 | INFO | 🟢 HOLD_ADD   | AEGISVOPAK      | ₹    238.35 | Above all weekly EMAs
2026-06-20 02:41:38 | INFO | 🔴 EXIT       | AFCONS          | ₹    313.45 | Below 40W EMA
2026-06-20 02:41:40 | INFO | 🔴 EXIT       | AFFLE           | ₹   1463.70 | Below 40W EMA
2026-06-20 02:41:42 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   3065.20 | Above all weekly EMAs
2026-06-20 02:41:44 | INFO | 🟡 WAIT       | ALKEM           | ₹   5373.50 | EMAs converging, no breakout yet
2026-06-20 02:41:46 | INFO | 🟢 HOLD_ADD   | ABDL            | ₹    631.25 | Above all weekly EMAs
2026-06-20 02:41:49 | INFO | 🔴 EXIT       | ARE&M           | ₹    844.65 | Below 40W EMA
2026-06-20 02:41:51 | INFO | 🟢 HOLD_ADD   | AMBER           | ₹   7889.00 | Above all weekly EMAs
2026-06-20 02:41:53 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    423.95 | Below 40W EMA
2026-06-20 02:41:55 | INFO | 🟢 HOLD_ADD   | ANANDRATHI      | ₹   1867.50 | Above all weekly EMAs
2026-06-20 02:41:57 | INFO | 🟡 WAIT       | ANANTRAJ        | ₹    520.20 | EMAs converging, no breakout yet
2026-06-20 02:41:59 | INFO | 🟢 HOLD_ADD   | ANGELONE        | ₹    353.70 | Above all weekly EMAs
2026-06-20 02:42:02 | WARNING | ANTHEM: Insufficient data for analysis
2026-06-20 02:42:04 | INFO | 🟠 CAUTIOUS   | ANURAS          | ₹   1277.10 | Below 20W EMA
2026-06-20 02:42:06 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  16280.00 | Above all weekly EMAs
2026-06-20 02:42:08 | INFO | 🟢 HOLD_ADD   | APOLLOHOSP      | ₹   8489.50 | Above all weekly EMAs
2026-06-20 02:42:10 | INFO | 🔴 EXIT       | APOLLOTYRE      | ₹    425.50 | Below 40W EMA
2026-06-20 02:42:12 | INFO | 🟢 HOLD_ADD   | APTUS           | ₹    269.75 | Above all weekly EMAs
2026-06-20 02:42:15 | INFO | 🟡 WAIT       | ASAHIINDIA      | ₹    846.35 | EMAs converging, no breakout yet
2026-06-20 02:42:17 | INFO | 🟡 WAIT       | ASHOKLEY        | ₹    156.66 | EMAs converging, no breakout yet
2026-06-20 02:42:19 | INFO | 🟢 HOLD_ADD   | ASIANPAINT      | ₹   2732.90 | Above all weekly EMAs
2026-06-20 02:42:21 | INFO | 🟢 HOLD_ADD   | ASTERDM         | ₹    809.40 | Above all weekly EMAs
2026-06-20 02:42:23 | INFO | 🟡 WAIT       | ASTRAL          | ₹   1542.10 | EMAs converging, no breakout yet
2026-06-20 02:42:25 | INFO | 🟢 HOLD_ADD   | ATHERENERG      | ₹    971.70 | Above all weekly EMAs
2026-06-20 02:42:27 | INFO | 🟡 WAIT       | ATUL            | ₹   6482.00 | EMAs converging, no breakout yet
2026-06-20 02:42:30 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1497.80 | Above all weekly EMAs
