2026-03-14 01:23:19 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹    990.00 | Below 40W EMA
2026-03-14 01:23:22 | INFO | 🟠 CAUTIOUS   | MOTHERSON       | ₹    113.82 | Below 20W EMA
2026-03-14 01:23:24 | INFO | 🔴 EXIT       | JIOFIN          | ₹    235.25 | Below 40W EMA
2026-03-14 01:23:26 | INFO | 🔴 EXIT       | VBL             | ₹    401.30 | Below 40W EMA
2026-03-14 01:23:28 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1083.60 | EMAs converging, no breakout yet
2026-03-14 01:23:30 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7550.00 | EMAs converging, no breakout yet
2026-03-14 01:23:33 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1325.40 | Below 40W EMA
2026-03-14 01:23:35 | INFO | 🟠 CAUTIOUS   | CANBK           | ₹    134.68 | Below 20W EMA
2026-03-14 01:23:37 | INFO | 🔴 EXIT       | DLF             | ₹    542.75 | Below 40W EMA
2026-03-14 01:23:39 | INFO | 🔴 EXIT       | JSWSTEEL        | ₹   1119.30 | Below 40W EMA
2026-03-14 01:23:41 | INFO | 🟢 HOLD_ADD   | JSWENERGY       | ₹    512.95 | Above all weekly EMAs
2026-03-14 01:23:44 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4390.00 | Above all weekly EMAs
2026-03-14 01:23:46 | INFO | 🔴 EXIT       | WIPRO           | ₹    197.58 | Below 40W EMA
2026-03-14 01:23:48 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1738.00 | Broke support with EMAs converging
2026-03-14 01:23:50 | INFO | 🔴 EXIT       | BPCL            | ₹    319.30 | Below 40W EMA
2026-03-14 01:23:52 | INFO | 🔴 EXIT       | ADANIENT        | ₹   1961.10 | Below 40W EMA
2026-03-14 01:23:55 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  14251.00 | EMAs converging, no breakout yet
2026-03-14 01:23:57 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹    992.30 | Above all weekly EMAs
2026-03-14 01:23:59 | INFO | 🔴 EXIT       | CHOLAFIN        | ₹   1514.00 | Broke support with EMAs converging
2026-03-14 01:24:01 | INFO | 🔴 EXIT       | RECLTD          | ₹    331.50 | Below 40W EMA
2026-03-14 01:24:03 | INFO | 🟣 FADING     | JINDALSTEL      | ₹   1143.30 | Below 10W EMA - momentum fading
2026-03-14 01:24:06 | INFO | 🔴 EXIT       | PNB             | ₹    111.70 | Below 40W EMA
2026-03-14 01:24:08 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1310.20 | Below 40W EMA
2026-03-14 01:24:10 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    425.35 | Below 40W EMA
2026-03-14 01:24:12 | INFO | 🔴 EXIT       | ASIANPAINT      | ₹   2196.80 | Below 40W EMA
2026-03-14 01:24:14 | INFO | 🟡 WAIT       | NESTLEIND       | ₹   1202.20 | EMAs converging, no breakout yet
2026-03-14 01:24:17 | INFO | 🔴 EXIT       | GODREJCP        | ₹   1027.90 | Broke support with EMAs converging
2026-03-14 01:24:19 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1292.30 | EMAs converging, no breakout yet
2026-03-14 01:24:21 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    625.75 | Below 40W EMA
2026-03-14 01:24:23 | INFO | 🔴 EXIT       | SBILIFE         | ₹   1904.40 | Below 40W EMA
2026-03-14 01:24:25 | INFO | 🟠 CAUTIOUS   | IOC             | ₹    156.54 | Below 20W EMA
2026-03-14 01:24:27 | INFO | 🔴 EXIT       | CIPLA           | ₹   1314.70 | Below 40W EMA
2026-03-14 01:24:30 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    609.85 | Below 40W EMA
2026-03-14 01:24:32 | INFO | 🟠 CAUTIOUS   | BANKBARODA      | ₹    281.05 | Below 20W EMA
2026-03-14 01:24:34 | INFO | 🔴 EXIT       | GAIL            | ₹    147.78 | Below 40W EMA
2026-03-14 01:24:37 | INFO | 🔴 EXIT       | TECHM           | ₹   1332.80 | Broke support with EMAs converging
2026-03-14 01:24:39 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6071.00 | EMAs converging, no breakout yet
2026-03-14 01:24:41 | INFO | 🔴 EXIT       | PIDILITIND      | ₹   1340.00 | Broke support with EMAs converging
2026-03-14 01:24:43 | INFO | 🔴 EXIT       | SHREECEM        | ₹  22965.00 | Below 40W EMA
2026-03-14 01:24:45 | INFO | 🔴 EXIT       | IRFC            | ₹     97.20 | Below 40W EMA
2026-03-14 01:24:48 | INFO | 🟡 WAIT       | SIEMENS         | ₹   3207.60 | EMAs converging, no breakout yet
2026-03-14 01:24:50 | INFO | 🔴 EXIT       | LICI            | ₹    772.70 | Below 40W EMA
2026-03-14 01:24:52 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1314.40 | EMAs converging, no breakout yet
2026-03-14 01:24:54 | INFO | 🔴 EXIT       | NAUKRI          | ₹    952.40 | Below 40W EMA
2026-03-14 01:24:56 | INFO | 🟡 WAIT       | ZYDUSLIFE       | ₹    905.90 | EMAs converging, no breakout yet
2026-03-14 01:24:58 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   2018.00 | Broke support with EMAs converging
2026-03-14 01:25:01 | WARNING | LTM: Insufficient data for analysis
2026-03-14 01:25:03 | WARNING | ENRIN: Insufficient data for analysis
2026-03-14 01:25:05 | INFO | 🟡 WAIT       | ICICIGI         | ₹   1837.10 | EMAs converging, no breakout yet
