2026-05-09 02:14:01 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-05-09 02:14:01 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-05-09 02:14:03 | INFO | 🟡 WAIT       | MMM             | $    143.29 | EMAs converging, no breakout yet
2026-05-09 02:14:06 | INFO | 🔴 EXIT       | AOS             | $     58.60 | Below 40W EMA
2026-05-09 02:14:08 | INFO | 🔴 EXIT       | ABT             | $     84.32 | Below 40W EMA
2026-05-09 02:14:10 | INFO | 🟡 WAIT       | ABBV            | $    201.55 | EMAs converging, no breakout yet
2026-05-09 02:14:13 | INFO | 🔴 EXIT       | ACN             | $    180.42 | Below 40W EMA
2026-05-09 02:14:15 | INFO | 🔴 EXIT       | ADBE            | $    253.04 | Below 40W EMA
2026-05-09 02:14:18 | INFO | 🟢 HOLD_ADD   | AMD             | $    455.19 | Above all weekly EMAs
2026-05-09 02:14:20 | INFO | 🟢 HOLD_ADD   | AES             | $     14.33 | Above all weekly EMAs
2026-05-09 02:14:22 | INFO | 🟡 WAIT       | AFL             | $    113.10 | EMAs converging, no breakout yet
2026-05-09 02:14:24 | INFO | 🔴 EXIT       | A               | $    115.62 | Below 40W EMA
2026-05-09 02:14:27 | INFO | 🟢 HOLD_ADD   | APD             | $    295.41 | Above all weekly EMAs
2026-05-09 02:14:29 | INFO | 🟢 HOLD_ADD   | ABNB            | $    141.49 | Above all weekly EMAs
2026-05-09 02:14:31 | INFO | 🟢 HOLD_ADD   | AKAM            | $    147.71 | Above all weekly EMAs
2026-05-09 02:14:34 | INFO | 🟢 HOLD_ADD   | ALB             | $    203.52 | Above all weekly EMAs
2026-05-09 02:14:36 | INFO | 🔴 EXIT       | ARE             | $     46.26 | Below 40W EMA
2026-05-09 02:14:38 | INFO | 🔴 EXIT       | ALGN            | $    168.78 | Below 40W EMA
2026-05-09 02:14:40 | INFO | 🔴 EXIT       | ALLE            | $    134.37 | Below 40W EMA
2026-05-09 02:14:43 | INFO | 🟢 HOLD_ADD   | LNT             | $     71.76 | Above all weekly EMAs
2026-05-09 02:14:45 | INFO | 🟢 HOLD_ADD   | ALL             | $    213.15 | Above all weekly EMAs
2026-05-09 02:14:47 | INFO | 🟢 HOLD_ADD   | GOOGL           | $    400.80 | Above all weekly EMAs
2026-05-09 02:14:50 | INFO | 🟢 HOLD_ADD   | GOOG            | $    397.05 | Above all weekly EMAs
2026-05-09 02:14:52 | INFO | 🟢 HOLD_ADD   | MO              | $     68.12 | Above all weekly EMAs
2026-05-09 02:14:54 | INFO | 🟢 HOLD_ADD   | AMZN            | $    272.68 | Above all weekly EMAs
2026-05-09 02:14:56 | INFO | 🔴 EXIT       | AMCR            | $     39.93 | Below 40W EMA
2026-05-09 02:14:59 | INFO | 🟣 FADING     | AEE             | $    109.07 | Below 10W EMA - momentum fading
2026-05-09 02:15:01 | INFO | 🟣 FADING     | AEP             | $    130.16 | Below 10W EMA - momentum fading
2026-05-09 02:15:03 | INFO | 🟡 WAIT       | AXP             | $    316.03 | EMAs converging, no breakout yet
2026-05-09 02:15:06 | INFO | 🟡 WAIT       | AIG             | $     76.36 | EMAs converging, no breakout yet
2026-05-09 02:15:08 | INFO | 🟡 WAIT       | AMT             | $    176.53 | EMAs converging, no breakout yet
