2026-06-06 02:31:54 | INFO | 🟢 HOLD_ADD   | ATHERENERG      | ₹   1033.60 | Above all weekly EMAs
2026-06-06 02:31:56 | INFO | 🟣 FADING     | ATUL            | ₹   6678.50 | Below 10W EMA - momentum fading
2026-06-06 02:31:58 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1462.30 | Above all weekly EMAs
2026-06-06 02:32:00 | INFO | 🔴 EXIT       | AIIL            | ₹    462.70 | Below 40W EMA
2026-06-06 02:32:02 | INFO | 🟡 WAIT       | DMART           | ₹   4144.20 | EMAs converging, no breakout yet
2026-06-06 02:32:04 | INFO | 🟡 WAIT       | AXISBANK        | ₹   1272.30 | EMAs converging, no breakout yet
2026-06-06 02:32:06 | INFO | 🟡 WAIT       | BEML            | ₹   1742.80 | EMAs converging, no breakout yet
2026-06-06 02:32:09 | INFO | 🔴 EXIT       | BLS             | ₹    261.10 | Below 40W EMA
2026-06-06 02:32:11 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   3880.00 | Above all weekly EMAs
2026-06-06 02:32:13 | INFO | 🟢 HOLD_ADD   | BAJAJ-AUTO      | ₹  10342.00 | Above all weekly EMAs
2026-06-06 02:32:15 | INFO | 🟡 WAIT       | BAJFINANCE      | ₹    889.40 | EMAs converging, no breakout yet
2026-06-06 02:32:17 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1703.20 | Below 40W EMA
2026-06-06 02:32:19 | INFO | 🔴 EXIT       | BAJAJHLDNG      | ₹  10199.00 | Below 40W EMA
2026-06-06 02:32:21 | INFO | 🔴 EXIT       | BAJAJHFL        | ₹     84.14 | Below 40W EMA
2026-06-06 02:32:24 | INFO | 🔴 EXIT       | BALKRISIND      | ₹   2142.00 | Below 40W EMA
2026-06-06 02:32:26 | INFO | 🟢 HOLD_ADD   | BALRAMCHIN      | ₹    531.80 | Above all weekly EMAs
2026-06-06 02:32:28 | INFO | 🟢 HOLD_ADD   | BANDHANBNK      | ₹    205.87 | Above all weekly EMAs
2026-06-06 02:32:30 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    263.70 | EMAs converging, no breakout yet
2026-06-06 02:32:32 | INFO | 🟢 HOLD_ADD   | BANKINDIA       | ₹    141.46 | Above all weekly EMAs
2026-06-06 02:32:34 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     79.19 | Above all weekly EMAs
2026-06-06 02:32:37 | INFO | 🔴 EXIT       | BATAINDIA       | ₹    664.60 | Below 40W EMA
2026-06-06 02:32:39 | INFO | 🔴 EXIT       | BAYERCROP       | ₹   4350.10 | Below 40W EMA
2026-06-06 02:32:41 | INFO | 🟢 HOLD_ADD   | BELRISE         | ₹    215.98 | Above all weekly EMAs
2026-06-06 02:32:43 | INFO | 🟡 WAIT       | BERGEPAINT      | ₹    490.25 | EMAs converging, no breakout yet
2026-06-06 02:32:45 | INFO | 🔴 EXIT       | BDL             | ₹   1207.40 | Below 40W EMA
2026-06-06 02:32:47 | INFO | 🟡 WAIT       | BEL             | ₹    408.20 | EMAs converging, no breakout yet
2026-06-06 02:32:50 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1929.80 | Above all weekly EMAs
2026-06-06 02:32:52 | INFO | 🟢 HOLD_ADD   | BHEL            | ₹    386.95 | Above all weekly EMAs
2026-06-06 02:32:54 | INFO | 🔴 EXIT       | BPCL            | ₹    295.00 | Below 40W EMA
2026-06-06 02:32:56 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1798.20 | EMAs converging, no breakout yet
2026-06-06 02:32:58 | INFO | 🔴 EXIT       | BHARTIHEXA      | ₹   1480.50 | Below 40W EMA
2026-06-06 02:33:00 | INFO | 🔴 EXIT       | BIKAJI          | ₹    654.95 | Below 40W EMA
2026-06-06 02:33:02 | WARNING | GROWW: Insufficient data for analysis
2026-06-06 02:33:05 | INFO | 🟢 HOLD_ADD   | BIOCON          | ₹    412.30 | Above all weekly EMAs
2026-06-06 02:33:07 | INFO | 🔴 EXIT       | BSOFT           | ₹    327.80 | Below 40W EMA
2026-06-06 02:33:09 | INFO | 🔴 EXIT       | BLUEDART        | ₹   4700.10 | Below 40W EMA
2026-06-06 02:33:11 | INFO | 🔴 EXIT       | BLUEJET         | ₹    465.15 | Below 40W EMA
2026-06-06 02:33:13 | INFO | 🔴 EXIT       | BLUESTARCO      | ₹   1581.80 | Below 40W EMA
2026-06-06 02:33:15 | INFO | 🔴 EXIT       | BBTC            | ₹   1529.10 | Below 40W EMA
2026-06-06 02:33:18 | INFO | 🟡 WAIT       | BOSCHLTD        | ₹  37240.00 | EMAs converging, no breakout yet
2026-06-06 02:33:20 | INFO | 🔴 EXIT       | FIRSTCRY        | ₹    221.14 | Below 40W EMA
2026-06-06 02:33:22 | INFO | 🔴 EXIT       | BRIGADE         | ₹    651.40 | Below 40W EMA
2026-06-06 02:33:24 | INFO | 🔴 EXIT       | BRITANNIA       | ₹   5120.50 | Below 40W EMA
2026-06-06 02:33:26 | INFO | 🔴 EXIT       | MAPMYINDIA      | ₹    853.40 | Below 40W EMA
2026-06-06 02:33:28 | INFO | 🟢 HOLD_ADD   | CCL             | ₹   1079.10 | Above all weekly EMAs
2026-06-06 02:33:30 | INFO | 🟢 HOLD_ADD   | CESC            | ₹    178.61 | Above all weekly EMAs
2026-06-06 02:33:33 | INFO | 🟢 HOLD_ADD   | CGPOWER         | ₹    937.85 | Above all weekly EMAs
2026-06-06 02:33:35 | INFO | 🟣 FADING     | CIEINDIA        | ₹    452.05 | Below 10W EMA - momentum fading
2026-06-06 02:33:37 | INFO | 🔴 EXIT       | CRISIL          | ₹   3878.90 | Below 40W EMA
2026-06-06 02:33:39 | INFO | 🟡 WAIT       | CANFINHOME      | ₹    807.90 | EMAs converging, no breakout yet
2026-06-06 02:33:41 | INFO | 🟡 WAIT       | CANBK           | ₹    135.81 | EMAs converging, no breakout yet
2026-06-06 02:33:43 | WARNING | CANHLIFE: Insufficient data for analysis
2026-06-06 02:33:46 | INFO | 🟡 WAIT       | CAPLIPOINT      | ₹   2033.10 | EMAs converging, no breakout yet
2026-06-06 02:33:48 | INFO | 🟢 HOLD_ADD   | CGCL            | ₹    202.77 | Above all weekly EMAs
2026-06-06 02:33:50 | INFO | 🟢 HOLD_ADD   | CARBORUNIV      | ₹   1039.80 | Above all weekly EMAs
2026-06-06 02:33:52 | INFO | 🔴 EXIT       | CARTRADE        | ₹   1958.40 | Below 40W EMA
2026-06-06 02:33:54 | INFO | 🟡 WAIT       | CASTROLIND      | ₹    183.52 | EMAs converging, no breakout yet
2026-06-06 02:33:56 | INFO | 🔴 EXIT       | CEATLTD         | ₹   3191.50 | Below 40W EMA
2026-06-06 02:33:59 | INFO | 🟢 HOLD_ADD   | CEMPRO          | ₹   1112.80 | Above all weekly EMAs
2026-06-06 02:34:01 | INFO | 🔴 EXIT       | CENTRALBK       | ₹     30.38 | Below 40W EMA
2026-06-06 02:34:03 | INFO | 🔴 EXIT       | CDSL            | ₹   1217.50 | Below 40W EMA
2026-06-06 02:34:05 | INFO | 🔴 EXIT       | CHALET          | ₹    777.45 | Below 40W EMA
2026-06-06 02:34:07 | INFO | 🟡 WAIT       | CHAMBLFERT      | ₹    467.70 | EMAs converging, no breakout yet
2026-06-06 02:34:09 | INFO | 🟢 HOLD_ADD   | CHENNPETRO      | ₹   1181.40 | Above all weekly EMAs
2026-06-06 02:34:11 | INFO | 🔴 EXIT       | CHOICEIN        | ₹    663.65 | Below 40W EMA
2026-06-06 02:34:13 | INFO | 🔴 EXIT       | CHOLAHLDNG      | ₹   1449.00 | Below 40W EMA
2026-06-06 02:34:16 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1503.20 | EMAs converging, no breakout yet
2026-06-06 02:34:18 | INFO | 🟡 WAIT       | CIPLA           | ₹   1401.30 | EMAs converging, no breakout yet
2026-06-06 02:34:20 | INFO | 🔴 EXIT       | CUB             | ₹    244.85 | Below 40W EMA
2026-06-06 02:34:22 | INFO | 🔴 EXIT       | CLEAN           | ₹    791.85 | Below 40W EMA
2026-06-06 02:34:24 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    472.30 | Above all weekly EMAs
2026-06-06 02:34:26 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1439.10 | Below 40W EMA
2026-06-06 02:34:29 | INFO | 🔴 EXIT       | COFORGE         | ₹   1435.50 | Below 40W EMA
2026-06-06 02:34:31 | INFO | 🔴 EXIT       | COHANCE         | ₹    431.10 | Below 40W EMA
2026-06-06 02:34:33 | INFO | 🔴 EXIT       | COLPAL          | ₹   1999.50 | Below 40W EMA
2026-06-06 02:34:35 | INFO | 🟡 WAIT       | CAMS            | ₹    761.00 | EMAs converging, no breakout yet
2026-06-06 02:34:37 | INFO | 🔴 EXIT       | CONCORDBIO      | ₹   1209.90 | Below 40W EMA
2026-06-06 02:34:39 | INFO | 🔴 EXIT       | CONCOR          | ₹    450.95 | Below 40W EMA
2026-06-06 02:34:41 | INFO | 🔴 EXIT       | COROMANDEL      | ₹   1796.80 | Below 40W EMA
