2026-06-27 02:31:48 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-06-27 02:31:48 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-06-27 02:31:48 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 500 symbols
2026-06-27 02:31:48 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-06-27 02:31:51 | INFO | 🟡 WAIT       | 360ONE          | ₹   1087.80 | EMAs converging, no breakout yet
2026-06-27 02:31:53 | INFO | 🟡 WAIT       | 3MINDIA         | ₹  33485.00 | EMAs converging, no breakout yet
2026-06-27 02:31:55 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   6977.00 | Above all weekly EMAs
2026-06-27 02:31:58 | INFO | 🔴 EXIT       | ACC             | ₹   1335.50 | Below 40W EMA
2026-06-27 02:32:00 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    357.90 | Above all weekly EMAs
2026-06-27 02:32:02 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4847.50 | Above all weekly EMAs
2026-06-27 02:32:04 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1799.90 | EMAs converging, no breakout yet
2026-06-27 02:32:07 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1038.80 | Above all weekly EMAs
2026-06-27 02:32:09 | INFO | 🔴 EXIT       | AWL             | ₹    181.80 | Below 40W EMA
2026-06-27 02:32:11 | INFO | 🟡 WAIT       | AADHARHFC       | ₹    517.90 | EMAs converging, no breakout yet
2026-06-27 02:32:13 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    466.20 | Above all weekly EMAs
2026-06-27 02:32:16 | INFO | 🟢 HOLD_ADD   | AAVAS           | ₹   1493.10 | Above all weekly EMAs
2026-06-27 02:32:18 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  25650.00 | Below 40W EMA
2026-06-27 02:32:20 | INFO | 🟢 HOLD_ADD   | ACE             | ₹    985.20 | Above all weekly EMAs
2026-06-27 02:32:22 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3295.00 | Above all weekly EMAs
