2026-08-01 02:05:05 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-08-01 02:05:05 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-08-01 02:05:05 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 500 symbols
2026-08-01 02:05:05 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-08-01 02:05:08 | INFO | 🟡 WAIT       | 360ONE          | ₹   1135.30 | EMAs converging, no breakout yet
2026-08-01 02:05:10 | INFO | 🟢 HOLD_ADD   | 3MINDIA         | ₹  34615.00 | Above all weekly EMAs
2026-08-01 02:05:12 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7284.50 | Above all weekly EMAs
2026-08-01 02:05:14 | INFO | 🔴 EXIT       | ACC             | ₹   1357.40 | Below 40W EMA
2026-08-01 02:05:16 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    362.60 | Above all weekly EMAs
2026-08-01 02:05:18 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4591.00 | Above all weekly EMAs
2026-08-01 02:05:21 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1819.50 | EMAs converging, no breakout yet
2026-08-01 02:05:23 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1047.30 | Above all weekly EMAs
2026-08-01 02:05:25 | INFO | 🔴 EXIT       | AWL             | ₹    189.44 | Below 40W EMA
2026-08-01 02:05:27 | INFO | 🟣 FADING     | AADHARHFC       | ₹    496.70 | Below 10W EMA - momentum fading
2026-08-01 02:05:29 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    489.10 | Above all weekly EMAs
2026-08-01 02:05:31 | INFO | 🟡 WAIT       | AAVAS           | ₹   1359.80 | EMAs converging, no breakout yet
2026-08-01 02:05:33 | INFO | 🟡 WAIT       | ABBOTINDIA      | ₹  27800.00 | EMAs converging, no breakout yet
2026-08-01 02:05:35 | INFO | 🟢 HOLD_ADD   | ACE             | ₹   1070.30 | Above all weekly EMAs
2026-08-01 02:05:37 | INFO | 🟣 FADING     | ACUTAAS         | ₹   3104.90 | Below 10W EMA - momentum fading
2026-08-01 02:05:40 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1645.40 | Above all weekly EMAs
2026-08-01 02:05:42 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3009.50 | Above all weekly EMAs
2026-08-01 02:05:44 | INFO | 🟣 FADING     | ADANIGREEN      | ₹   1383.00 | Below 10W EMA - momentum fading
2026-08-01 02:05:46 | INFO | 🟠 CAUTIOUS   | ADANIPORTS      | ₹   1696.50 | Below 20W EMA
2026-08-01 02:05:48 | INFO | 🟣 FADING     | ADANIPOWER      | ₹    211.31 | Below 10W EMA - momentum fading
2026-08-01 02:05:50 | INFO | 🟠 CAUTIOUS   | ATGL            | ₹    651.45 | Below 20W EMA
2026-08-01 02:05:53 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    404.30 | Above all weekly EMAs
2026-08-01 02:05:55 | INFO | 🔴 EXIT       | ABFRL           | ₹     60.24 | Below 40W EMA
2026-08-01 02:05:57 | INFO | 🔴 EXIT       | ABLBL           | ₹     94.67 | Below 40W EMA
2026-08-01 02:05:59 | INFO | 🔴 EXIT       | ABREL           | ₹   1418.10 | Below 40W EMA
2026-08-01 02:06:01 | INFO | 🟠 CAUTIOUS   | ABSLAMC         | ₹   1011.80 | Below 20W EMA
2026-08-01 02:06:03 | INFO | 🟢 HOLD_ADD   | CPPLUS          | ₹   3391.00 | Above all weekly EMAs
2026-08-01 02:06:05 | INFO | 🟢 HOLD_ADD   | AEGISLOG        | ₹   1280.80 | Above all weekly EMAs
2026-08-01 02:06:07 | INFO | 🟢 HOLD_ADD   | AEGISVOPAK      | ₹    290.16 | Above all weekly EMAs
2026-08-01 02:06:09 | INFO | 🔴 EXIT       | AFCONS          | ₹    271.15 | Below 40W EMA
2026-08-01 02:06:12 | INFO | 🟢 HOLD_ADD   | AFFLE           | ₹   1586.00 | Above all weekly EMAs
2026-08-01 02:06:14 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   3465.20 | Above all weekly EMAs
2026-08-01 02:06:16 | INFO | 🟡 WAIT       | ALKEM           | ₹   5751.50 | EMAs converging, no breakout yet
2026-08-01 02:06:18 | INFO | 🟢 HOLD_ADD   | ABDL            | ₹    619.50 | Above all weekly EMAs
2026-08-01 02:06:20 | INFO | 🟡 WAIT       | ARE&M           | ₹    910.45 | EMAs converging, no breakout yet
2026-08-01 02:06:22 | INFO | 🟡 WAIT       | AMBER           | ₹   7440.50 | EMAs converging, no breakout yet
2026-08-01 02:06:24 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    432.20 | Below 40W EMA
2026-08-01 02:06:26 | INFO | 🟢 HOLD_ADD   | ANANDRATHI      | ₹   2073.70 | Above all weekly EMAs
2026-08-01 02:06:29 | INFO | 🟢 HOLD_ADD   | ANANTRAJ        | ₹    624.50 | Above all weekly EMAs
2026-08-01 02:06:31 | INFO | 🟠 CAUTIOUS   | ANGELONE        | ₹    297.95 | Below 20W EMA
2026-08-01 02:06:33 | INFO | 🟢 HOLD_ADD   | ANTHEM          | ₹    809.20 | Above all weekly EMAs
