2026-07-25 01:57:45 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-07-25 01:57:45 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-07-25 01:57:46 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 500 symbols
2026-07-25 01:57:46 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-07-25 01:57:48 | INFO | 🟡 WAIT       | 360ONE          | ₹   1102.30 | EMAs converging, no breakout yet
2026-07-25 01:57:50 | INFO | 🟢 HOLD_ADD   | 3MINDIA         | ₹  35500.00 | Above all weekly EMAs
2026-07-25 01:57:53 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7375.50 | Above all weekly EMAs
2026-07-25 01:57:55 | INFO | 🔴 EXIT       | ACC             | ₹   1340.90 | Below 40W EMA
2026-07-25 01:57:57 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    365.85 | Above all weekly EMAs
2026-07-25 01:57:59 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4583.00 | Above all weekly EMAs
2026-07-25 01:58:01 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1822.80 | EMAs converging, no breakout yet
2026-07-25 01:58:03 | INFO | 🟣 FADING     | AUBANK          | ₹   1004.00 | Below 10W EMA - momentum fading
2026-07-25 01:58:05 | INFO | 🔴 EXIT       | AWL             | ₹    188.16 | Below 40W EMA
2026-07-25 01:58:07 | INFO | 🟠 CAUTIOUS   | AADHARHFC       | ₹    495.00 | Below 20W EMA
2026-07-25 01:58:10 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    477.80 | Above all weekly EMAs
2026-07-25 01:58:12 | INFO | 🟡 WAIT       | AAVAS           | ₹   1379.00 | EMAs converging, no breakout yet
2026-07-25 01:58:14 | INFO | 🟡 WAIT       | ABBOTINDIA      | ₹  28005.00 | EMAs converging, no breakout yet
2026-07-25 01:58:16 | INFO | 🟡 WAIT       | ACE             | ₹   1039.40 | EMAs converging, no breakout yet
2026-07-25 01:58:18 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3259.50 | Above all weekly EMAs
2026-07-25 01:58:20 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1702.20 | Above all weekly EMAs
2026-07-25 01:58:22 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3026.40 | Above all weekly EMAs
2026-07-25 01:58:25 | INFO | 🟣 FADING     | ADANIGREEN      | ₹   1395.10 | Below 10W EMA - momentum fading
2026-07-25 01:58:27 | INFO | 🟣 FADING     | ADANIPORTS      | ₹   1768.30 | Below 10W EMA - momentum fading
2026-07-25 01:58:29 | INFO | 🟣 FADING     | ADANIPOWER      | ₹    213.66 | Below 10W EMA - momentum fading
2026-07-25 01:58:31 | INFO | 🟠 CAUTIOUS   | ATGL            | ₹    652.85 | Below 20W EMA
2026-07-25 01:58:33 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    393.85 | Above all weekly EMAs
2026-07-25 01:58:35 | INFO | 🔴 EXIT       | ABFRL           | ₹     56.25 | Below 40W EMA
2026-07-25 01:58:37 | INFO | 🔴 EXIT       | ABLBL           | ₹     94.01 | Below 40W EMA
2026-07-25 01:58:39 | INFO | 🔴 EXIT       | ABREL           | ₹   1374.20 | Below 40W EMA
