2026-04-25 02:06:37 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-04-25 02:06:38 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-04-25 02:06:40 | INFO | 🟡 WAIT       | MMM             | $    145.99 | EMAs converging, no breakout yet
2026-04-25 02:06:42 | INFO | 🟡 WAIT       | AOS             | $     64.38 | EMAs converging, no breakout yet
2026-04-25 02:06:45 | INFO | 🔴 EXIT       | ABT             | $     91.13 | Below 40W EMA
2026-04-25 02:06:47 | INFO | 🔴 EXIT       | ABBV            | $    198.71 | Broke support with EMAs converging
2026-04-25 02:06:49 | INFO | 🔴 EXIT       | ACN             | $    178.36 | Below 40W EMA
2026-04-25 02:06:51 | INFO | 🔴 EXIT       | ADBE            | $    245.44 | Below 40W EMA
2026-04-25 02:06:53 | INFO | 🟢 HOLD_ADD   | AMD             | $    347.81 | Above all weekly EMAs
2026-04-25 02:06:55 | INFO | 🟣 FADING     | AES             | $     14.49 | Below 10W EMA - momentum fading
2026-04-25 02:06:58 | INFO | 🟡 WAIT       | AFL             | $    114.62 | EMAs converging, no breakout yet
2026-04-25 02:07:00 | INFO | 🔴 EXIT       | A               | $    115.55 | Below 40W EMA
2026-04-25 02:07:02 | INFO | 🟢 HOLD_ADD   | APD             | $    301.76 | Above all weekly EMAs
2026-04-25 02:07:04 | INFO | ✅ BULLISH    | ABNB            | $    142.82 | Resistance breakout with EMAs converging
2026-04-25 02:07:06 | INFO | 🟠 CAUTIOUS   | AKAM            | $     95.25 | Below 20W EMA
2026-04-25 02:07:08 | INFO | 🟢 HOLD_ADD   | ALB             | $    188.33 | Above all weekly EMAs
2026-04-25 02:07:10 | INFO | 🔴 EXIT       | ARE             | $     47.40 | Below 40W EMA
2026-04-25 02:07:13 | INFO | 🟢 HOLD_ADD   | ALGN            | $    189.61 | Above all weekly EMAs
2026-04-25 02:07:15 | INFO | 🔴 EXIT       | ALLE            | $    146.10 | Below 40W EMA
2026-04-25 02:07:17 | INFO | 🟢 HOLD_ADD   | LNT             | $     72.31 | Above all weekly EMAs
2026-04-25 02:07:19 | INFO | 🟡 WAIT       | ALL             | $    212.88 | EMAs converging, no breakout yet
2026-04-25 02:07:21 | INFO | 🟢 HOLD_ADD   | GOOGL           | $    344.40 | Above all weekly EMAs
2026-04-25 02:07:23 | INFO | 🟢 HOLD_ADD   | GOOG            | $    342.32 | Above all weekly EMAs
2026-04-25 02:07:26 | INFO | 🟢 HOLD_ADD   | MO              | $     66.88 | Above all weekly EMAs
2026-04-25 02:07:28 | INFO | 🟢 HOLD_ADD   | AMZN            | $    263.99 | Above all weekly EMAs
2026-04-25 02:07:30 | INFO | 🔴 EXIT       | AMCR            | $     38.95 | Below 40W EMA
2026-04-25 02:07:32 | INFO | 🟢 HOLD_ADD   | AEE             | $    111.12 | Above all weekly EMAs
2026-04-25 02:07:34 | INFO | 🟢 HOLD_ADD   | AEP             | $    134.73 | Above all weekly EMAs
2026-04-25 02:07:36 | INFO | 🟡 WAIT       | AXP             | $    314.08 | EMAs converging, no breakout yet
2026-04-25 02:07:39 | INFO | 🟡 WAIT       | AIG             | $     75.14 | EMAs converging, no breakout yet
2026-04-25 02:07:41 | INFO | 🟡 WAIT       | AMT             | $    178.21 | EMAs converging, no breakout yet
2026-04-25 02:07:43 | INFO | 🟡 WAIT       | AWK             | $    132.42 | EMAs converging, no breakout yet
2026-04-25 02:07:45 | INFO | 🔴 EXIT       | AMP             | $    464.12 | Below 40W EMA
2026-04-25 02:07:47 | INFO | 🟢 HOLD_ADD   | AME             | $    232.95 | Above all weekly EMAs
2026-04-25 02:07:49 | INFO | 🟠 CAUTIOUS   | AMGN            | $    344.55 | Below 20W EMA
2026-04-25 02:07:51 | INFO | 🟢 HOLD_ADD   | APH             | $    149.71 | Above all weekly EMAs
2026-04-25 02:07:54 | INFO | 🟢 HOLD_ADD   | ADI             | $    399.57 | Above all weekly EMAs
2026-04-25 02:07:56 | INFO | 🔴 EXIT       | AON             | $    321.14 | Below 40W EMA
2026-04-25 02:07:58 | INFO | 🟢 HOLD_ADD   | APA             | $     37.73 | Above all weekly EMAs
2026-04-25 02:08:00 | INFO | 🔴 EXIT       | APO             | $    124.26 | Below 40W EMA
2026-04-25 02:08:02 | INFO | 🟢 HOLD_ADD   | AAPL            | $    271.06 | Above all weekly EMAs
2026-04-25 02:08:05 | INFO | 🟢 HOLD_ADD   | AMAT            | $    417.04 | Above all weekly EMAs
2026-04-25 02:08:07 | INFO | 🔴 EXIT       | APP             | $    448.29 | Below 40W EMA
2026-04-25 02:08:09 | INFO | 🔴 EXIT       | APTV            | $     60.10 | Below 40W EMA
2026-04-25 02:08:11 | INFO | 🟡 WAIT       | ACGL            | $     96.19 | EMAs converging, no breakout yet
2026-04-25 02:08:13 | INFO | 🟢 HOLD_ADD   | ADM             | $     69.23 | Above all weekly EMAs
2026-04-25 02:08:15 | INFO | 🔴 EXIT       | ARES            | $    115.23 | Below 40W EMA
2026-04-25 02:08:17 | INFO | 🟢 HOLD_ADD   | ANET            | $    176.91 | Above all weekly EMAs
2026-04-25 02:08:19 | INFO | 🔴 EXIT       | AJG             | $    215.38 | Below 40W EMA
2026-04-25 02:08:22 | INFO | 🟡 WAIT       | AIZ             | $    229.80 | EMAs converging, no breakout yet
2026-04-25 02:08:24 | INFO | 🟠 CAUTIOUS   | T               | $     26.20 | Below 20W EMA
2026-04-25 02:08:26 | INFO | 🟢 HOLD_ADD   | ATO             | $    185.45 | Above all weekly EMAs
2026-04-25 02:08:28 | INFO | 🔴 EXIT       | ADSK            | $    237.44 | Below 40W EMA
2026-04-25 02:08:30 | INFO | 🔴 EXIT       | ADP             | $    196.53 | Below 40W EMA
2026-04-25 02:08:32 | INFO | 🔴 EXIT       | AZO             | $   3577.91 | Below 40W EMA
2026-04-25 02:08:35 | INFO | 🔴 EXIT       | AVB             | $    172.38 | Below 40W EMA
2026-04-25 02:08:37 | INFO | 🟡 WAIT       | AVY             | $    165.50 | EMAs converging, no breakout yet
2026-04-25 02:08:39 | INFO | 🔴 EXIT       | AXON            | $    397.12 | Below 40W EMA
2026-04-25 02:08:41 | INFO | 🟢 HOLD_ADD   | BKR             | $     68.94 | Above all weekly EMAs
2026-04-25 02:08:43 | INFO | 🟣 FADING     | BALL            | $     61.32 | Below 10W EMA - momentum fading
2026-04-25 02:08:45 | INFO | 🟡 WAIT       | BAC             | $     52.05 | EMAs converging, no breakout yet
2026-04-25 02:08:48 | INFO | 🔴 EXIT       | BAX             | $     18.16 | Below 40W EMA
2026-04-25 02:08:50 | INFO | 🟡 WAIT       | BDX             | $    152.14 | EMAs converging, no breakout yet
2026-04-25 02:08:52 | INFO | 🟡 WAIT       | BRK-B           | $    469.32 | EMAs converging, no breakout yet
