2026-07-04 02:09:09 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-07-04 02:09:09 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-07-04 02:09:10 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 500 symbols
2026-07-04 02:09:10 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-07-04 02:09:12 | INFO | 🟡 WAIT       | 360ONE          | ₹   1109.50 | EMAs converging, no breakout yet
2026-07-04 02:09:14 | INFO | 🟡 WAIT       | 3MINDIA         | ₹  35235.00 | EMAs converging, no breakout yet
2026-07-04 02:09:16 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   6950.50 | Above all weekly EMAs
2026-07-04 02:09:19 | INFO | 🔴 EXIT       | ACC             | ₹   1393.80 | Below 40W EMA
2026-07-04 02:09:21 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    383.25 | Above all weekly EMAs
2026-07-04 02:09:23 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4754.50 | Above all weekly EMAs
2026-07-04 02:09:25 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1788.00 | EMAs converging, no breakout yet
2026-07-04 02:09:27 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1058.40 | Above all weekly EMAs
2026-07-04 02:09:29 | INFO | 🔴 EXIT       | AWL             | ₹    191.11 | Below 40W EMA
2026-07-04 02:09:31 | INFO | 🟢 HOLD_ADD   | AADHARHFC       | ₹    555.60 | Above all weekly EMAs
2026-07-04 02:09:34 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    487.70 | Above all weekly EMAs
2026-07-04 02:09:36 | INFO | 🟢 HOLD_ADD   | AAVAS           | ₹   1506.10 | Above all weekly EMAs
2026-07-04 02:09:38 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  25895.00 | Below 40W EMA
2026-07-04 02:09:40 | INFO | 🟢 HOLD_ADD   | ACE             | ₹    989.90 | Above all weekly EMAs
2026-07-04 02:09:42 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3694.80 | Above all weekly EMAs
2026-07-04 02:09:44 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1568.80 | Above all weekly EMAs
2026-07-04 02:09:47 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3212.10 | Above all weekly EMAs
2026-07-04 02:09:49 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1556.20 | Above all weekly EMAs
2026-07-04 02:09:51 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1874.20 | Above all weekly EMAs
2026-07-04 02:09:53 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    221.79 | Above all weekly EMAs
2026-07-04 02:09:55 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    721.75 | Above all weekly EMAs
2026-07-04 02:09:57 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    401.25 | Above all weekly EMAs
2026-07-04 02:09:59 | INFO | 🔴 EXIT       | ABFRL           | ₹     62.47 | Below 40W EMA
2026-07-04 02:10:01 | INFO | 🔴 EXIT       | ABLBL           | ₹     97.89 | Below 40W EMA
