2026-02-21 16:54:05 | INFO | 🟢 HOLD_ADD   | ULTRACEMCO      | ₹  12766.00 | Above all weekly EMAs
2026-02-21 16:54:07 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1059.30 | Above all weekly EMAs
2026-02-21 16:54:09 | INFO | 🟣 FADING     | HINDZINC        | ₹    589.35 | Below 10W EMA - momentum fading
2026-02-21 16:54:11 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4241.70 | Above all weekly EMAs
2026-02-21 16:54:14 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    674.95 | Below 40W EMA
2026-02-21 16:54:16 | INFO | 🔴 EXIT       | TRENT           | ₹   4091.00 | Below 40W EMA
2026-02-21 16:54:18 | INFO | 🔴 EXIT       | DMART           | ₹   3866.40 | Below 40W EMA
2026-02-21 16:54:20 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1394.50 | EMAs converging, no breakout yet
2026-02-21 16:54:22 | INFO | 🔴 EXIT       | ITC             | ₹    327.00 | Below 40W EMA
2026-02-21 16:54:24 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    512.00 | Below 40W EMA
2026-02-21 16:54:26 | INFO | 🟢 HOLD_ADD   | EICHERMOT       | ₹   7936.50 | Above all weekly EMAs
2026-02-21 16:54:29 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1235.80 | Above all weekly EMAs
2026-02-21 16:54:31 | INFO | 🔴 EXIT       | TCS             | ₹   2686.20 | Below 40W EMA
2026-02-21 16:54:33 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1217.10 | Above all weekly EMAs
2026-02-21 16:54:35 | INFO | 🔴 EXIT       | RECLTD          | ₹    354.20 | Below 40W EMA
2026-02-21 16:54:37 | INFO | 🔴 EXIT       | IRFC            | ₹    111.88 | Below 40W EMA
2026-02-21 16:54:39 | INFO | 🔴 EXIT       | ADANIENT        | ₹   2160.80 | Below 40W EMA
2026-02-21 16:54:41 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1511.50 | Above all weekly EMAs
2026-02-21 16:54:43 | INFO | 🔴 EXIT       | LODHA           | ₹   1071.15 | Below 40W EMA
2026-02-21 16:54:46 | INFO | 🟡 WAIT       | ICICIGI         | ₹   1936.10 | EMAs converging, no breakout yet
2026-02-21 16:54:48 | INFO | 🟢 HOLD_ADD   | TVSMOTOR        | ₹   3816.20 | Above all weekly EMAs
2026-02-21 16:54:50 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7615.50 | EMAs converging, no breakout yet
2026-02-21 16:54:52 | INFO | 🔴 EXIT       | JIOFIN          | ₹    258.60 | Below 40W EMA
2026-02-21 16:54:54 | INFO | 🔴 EXIT       | ZYDUSLIFE       | ₹    900.75 | Below 40W EMA
2026-02-21 16:54:56 | INFO | 🔴 EXIT       | VBL             | ₹    453.85 | Below 40W EMA
2026-02-21 16:54:58 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6291.00 | EMAs converging, no breakout yet
2026-02-21 16:55:00 | INFO | 🟡 WAIT       | PIDILITIND      | ₹   1464.90 | EMAs converging, no breakout yet
2026-02-21 16:55:03 | INFO | 🔴 EXIT       | BAJAJHFL        | ₹     88.07 | Below 40W EMA
2026-02-21 16:55:05 | INFO | 🟡 WAIT       | HDFCBANK        | ₹    911.85 | EMAs converging, no breakout yet
2026-02-21 16:55:07 | INFO | 🟣 FADING     | CHOLAFIN        | ₹   1669.60 | Below 10W EMA - momentum fading
2026-02-21 16:55:09 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   6098.50 | EMAs converging, no breakout yet
2026-02-21 16:55:11 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1280.40 | EMAs converging, no breakout yet
2026-02-21 16:55:13 | INFO | 🟢 HOLD_ADD   | IOC             | ₹    173.79 | Above all weekly EMAs
2026-02-21 16:55:15 | INFO | 🔴 EXIT       | M&M             | ₹   3412.80 | Below 40W EMA
2026-02-21 16:55:17 | INFO | 🟡 WAIT       | HDFCLIFE        | ₹    728.65 | EMAs converging, no breakout yet
2026-02-21 16:55:19 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  13296.00 | EMAs converging, no breakout yet
2026-02-21 16:55:22 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1156.20 | EMAs converging, no breakout yet
2026-02-21 16:55:24 | INFO | 🟠 CAUTIOUS   | BHARTIARTL      | ₹   1977.40 | Below 20W EMA
2026-02-21 16:55:26 | INFO | 🔴 EXIT       | WIPRO           | ₹    209.86 | Below 40W EMA
2026-02-21 16:55:28 | INFO | 🔴 EXIT       | BAJAJHLDNG      | ₹  11188.00 | Below 40W EMA
2026-02-21 16:55:30 | INFO | 🟢 HOLD_ADD   | BPCL            | ₹    366.30 | Above all weekly EMAs
2026-02-21 16:55:32 | INFO | 🟡 WAIT       | HCLTECH         | ₹   1436.50 | EMAs converging, no breakout yet
2026-02-21 16:55:34 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    129.42 | Above all weekly EMAs
2026-02-21 16:55:37 | INFO | 🔴 EXIT       | ADANIGREEN      | ₹    968.25 | Below 40W EMA
2026-02-21 16:55:39 | INFO | 🟡 WAIT       | GRASIM          | ₹   2832.80 | EMAs converging, no breakout yet
2026-02-21 16:55:41 | INFO | 🟡 WAIT       | TECHM           | ₹   1456.90 | EMAs converging, no breakout yet
2026-02-21 16:55:43 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1379.30 | EMAs converging, no breakout yet
2026-02-21 16:55:45 | INFO | 🟡 WAIT       | INFY            | ₹   1353.20 | EMAs converging, no breakout yet
2026-02-21 16:55:47 | INFO | 🟡 WAIT       | ETERNAL         | ₹    269.45 | EMAs converging, no breakout yet
2026-02-21 16:55:49 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹    998.10 | Above all weekly EMAs
2026-02-21 16:55:51 | INFO | 🔴 EXIT       | NAUKRI          | ₹   1074.80 | Below 40W EMA
2026-02-21 16:55:53 | INFO | 🔴 EXIT       | LTIM            | ₹   4889.50 | Broke support with EMAs converging
2026-02-21 16:55:56 | WARNING | KWIL: Insufficient data for analysis
2026-02-21 16:55:58 | INFO | 🔴 EXIT       | THERMAX         | ₹   3151.80 | Below 40W EMA
2026-02-21 16:56:00 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4756.00 | Above all weekly EMAs
2026-02-21 16:56:02 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  10519.00 | Above all weekly EMAs
2026-02-21 16:56:04 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  23871.00 | Above all weekly EMAs
2026-02-21 16:56:06 | INFO | 🔴 EXIT       | TIINDIA         | ₹   2585.80 | Below 40W EMA
2026-02-21 16:56:08 | INFO | 🔴 EXIT       | POLICYBZR       | ₹   1513.60 | Below 40W EMA
2026-02-21 16:56:10 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   3648.60 | Above all weekly EMAs
2026-02-21 16:56:13 | INFO | 🔴 EXIT       | KPRMILL         | ₹    933.50 | Below 40W EMA
2026-02-21 16:56:15 | INFO | 🔴 EXIT       | IRCTC           | ₹    645.30 | Below 40W EMA
2026-02-21 16:56:17 | INFO | 🔴 EXIT       | BDL             | ₹   1310.40 | Below 40W EMA
2026-02-21 16:56:20 | INFO | ✅ BULLISH    | TORNTPOWER      | ₹   1528.60 | Resistance breakout with EMAs converging
2026-02-21 16:56:24 | INFO | 🟢 HOLD_ADD   | ASHOKLEY        | ₹    208.85 | Above all weekly EMAs
2026-02-21 16:56:28 | INFO | 🟢 HOLD_ADD   | UNIONBANK       | ₹    193.98 | Above all weekly EMAs
2026-02-21 16:56:32 | INFO | 🟢 HOLD_ADD   | INDIANB         | ₹    946.70 | Above all weekly EMAs
2026-02-21 16:56:36 | INFO | ✅ BULLISH    | VOLTAS          | ₹   1546.90 | Resistance breakout with EMAs converging
2026-02-21 16:56:41 | INFO | 🟢 HOLD_ADD   | TATAINVEST      | ₹    707.10 | Above all weekly EMAs
2026-02-21 16:56:44 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   4733.90 | Above all weekly EMAs
2026-02-21 16:56:46 | INFO | 🟡 WAIT       | TATACOMM        | ₹   1686.70 | EMAs converging, no breakout yet
2026-02-21 16:56:48 | INFO | 🟢 HOLD_ADD   | IDBI            | ₹    112.83 | Above all weekly EMAs
2026-02-21 16:56:50 | INFO | 🔴 EXIT       | PREMIERENE      | ₹    768.75 | Below 40W EMA
2026-02-21 16:56:52 | INFO | 🔴 EXIT       | RVNL            | ₹    312.10 | Below 40W EMA
2026-02-21 16:56:54 | INFO | 🟠 CAUTIOUS   | BHEL            | ₹    257.30 | Below 20W EMA
2026-02-21 16:56:57 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    158.75 | Above all weekly EMAs
2026-02-21 16:56:59 | INFO | ✅ BULLISH    | PETRONET        | ₹    306.65 | Resistance breakout with EMAs converging
2026-02-21 16:57:01 | INFO | 🟠 CAUTIOUS   | MUTHOOTFIN      | ₹   3460.00 | Below 20W EMA
2026-02-21 16:57:03 | INFO | 🟠 CAUTIOUS   | JSL             | ₹    761.30 | Below 20W EMA
2026-02-21 16:57:05 | INFO | 🔴 EXIT       | LLOYDSME        | ₹   1143.00 | Below 40W EMA
2026-02-21 16:57:07 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1780.00 | Above all weekly EMAs
2026-02-21 16:57:10 | INFO | 🟡 WAIT       | DABUR           | ₹    509.70 | EMAs converging, no breakout yet
2026-02-21 16:57:12 | INFO | 🔴 EXIT       | SJVN            | ₹     75.30 | Below 40W EMA
2026-02-21 16:57:14 | INFO | 🔴 EXIT       | SYNGENE         | ₹    442.70 | Below 40W EMA
2026-02-21 16:57:16 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹    957.05 | Above all weekly EMAs
