2026-04-04 01:44:49 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-04-04 01:44:49 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-04-04 01:44:52 | INFO | 🟡 WAIT       | MMM             | $    144.47 | EMAs converging, no breakout yet
2026-04-04 01:44:54 | INFO | 🟡 WAIT       | AOS             | $     64.35 | EMAs converging, no breakout yet
2026-04-04 01:44:56 | INFO | 🔴 EXIT       | ABT             | $    102.87 | Below 40W EMA
2026-04-04 01:44:58 | INFO | 🟡 WAIT       | ABBV            | $    208.84 | EMAs converging, no breakout yet
2026-04-04 01:45:00 | INFO | 🔴 EXIT       | ACN             | $    201.33 | Below 40W EMA
2026-04-04 01:45:03 | INFO | 🔴 EXIT       | ADBE            | $    242.92 | Below 40W EMA
2026-04-04 01:45:05 | INFO | 🟢 HOLD_ADD   | AMD             | $    217.50 | Above all weekly EMAs
2026-04-04 01:45:07 | INFO | 🟠 CAUTIOUS   | AES             | $     14.30 | Below 20W EMA
2026-04-04 01:45:09 | INFO | 🟡 WAIT       | AFL             | $    110.48 | EMAs converging, no breakout yet
2026-04-04 01:45:11 | INFO | 🔴 EXIT       | A               | $    115.48 | Below 40W EMA
2026-04-04 01:45:13 | INFO | 🟢 HOLD_ADD   | APD             | $    293.55 | Above all weekly EMAs
2026-04-04 01:45:16 | INFO | 🟡 WAIT       | ABNB            | $    124.95 | EMAs converging, no breakout yet
2026-04-04 01:45:18 | INFO | 🟢 HOLD_ADD   | AKAM            | $    118.00 | Above all weekly EMAs
2026-04-04 01:45:20 | INFO | 🟢 HOLD_ADD   | ALB             | $    178.09 | Above all weekly EMAs
2026-04-04 01:45:22 | INFO | 🔴 EXIT       | ARE             | $     43.23 | Below 40W EMA
2026-04-04 01:45:24 | INFO | 🟡 WAIT       | ALGN            | $    170.60 | EMAs converging, no breakout yet
2026-04-04 01:45:26 | INFO | 🔴 EXIT       | ALLE            | $    141.06 | Below 40W EMA
2026-04-04 01:45:28 | INFO | 🟢 HOLD_ADD   | LNT             | $     72.85 | Above all weekly EMAs
2026-04-04 01:45:31 | INFO | 🟡 WAIT       | ALL             | $    207.03 | EMAs converging, no breakout yet
2026-04-04 01:45:33 | INFO | 🟠 CAUTIOUS   | GOOGL           | $    295.77 | Below 20W EMA
2026-04-04 01:45:35 | INFO | 🟠 CAUTIOUS   | GOOG            | $    294.46 | Below 20W EMA
2026-04-04 01:45:37 | INFO | 🟢 HOLD_ADD   | MO              | $     65.76 | Above all weekly EMAs
2026-04-04 01:45:39 | INFO | 🔴 EXIT       | AMZN            | $    209.77 | Below 40W EMA
2026-04-04 01:45:41 | INFO | 🟡 WAIT       | AMCR            | $     39.93 | EMAs converging, no breakout yet
2026-04-04 01:45:43 | INFO | 🟢 HOLD_ADD   | AEE             | $    111.68 | Above all weekly EMAs
2026-04-04 01:45:46 | INFO | 🟢 HOLD_ADD   | AEP             | $    132.68 | Above all weekly EMAs
2026-04-04 01:45:48 | INFO | 🔴 EXIT       | AXP             | $    300.18 | Below 40W EMA
2026-04-04 01:45:50 | INFO | 🟡 WAIT       | AIG             | $     75.42 | EMAs converging, no breakout yet
2026-04-04 01:45:52 | INFO | 🔴 EXIT       | AMT             | $    173.73 | Below 40W EMA
2026-04-04 01:45:54 | INFO | 🟡 WAIT       | AWK             | $    138.14 | EMAs converging, no breakout yet
2026-04-04 01:45:56 | INFO | 🔴 EXIT       | AMP             | $    433.94 | Below 40W EMA
2026-04-04 01:45:59 | INFO | 🟢 HOLD_ADD   | AME             | $    218.29 | Above all weekly EMAs
2026-04-04 01:46:01 | INFO | 🟣 FADING     | AMGN            | $    347.94 | Below 10W EMA - momentum fading
2026-04-04 01:46:03 | INFO | 🟠 CAUTIOUS   | APH             | $    128.00 | Below 20W EMA
2026-04-04 01:46:05 | INFO | 🟢 HOLD_ADD   | ADI             | $    318.34 | Above all weekly EMAs
2026-04-04 01:46:07 | INFO | 🔴 EXIT       | AON             | $    323.14 | Below 40W EMA
2026-04-04 01:46:09 | INFO | 🟢 HOLD_ADD   | APA             | $     42.04 | Above all weekly EMAs
2026-04-04 01:46:12 | INFO | 🔴 EXIT       | APO             | $    107.04 | Below 40W EMA
2026-04-04 01:46:14 | INFO | 🟡 WAIT       | AAPL            | $    255.92 | EMAs converging, no breakout yet
2026-04-04 01:46:16 | INFO | 🟢 HOLD_ADD   | AMAT            | $    348.47 | Above all weekly EMAs
2026-04-04 01:46:18 | INFO | 🔴 EXIT       | APP             | $    386.37 | Below 40W EMA
2026-04-04 01:46:20 | INFO | 🔴 EXIT       | APTV            | $     60.99 | Below 40W EMA
2026-04-04 01:46:22 | INFO | 🟡 WAIT       | ACGL            | $     96.74 | EMAs converging, no breakout yet
2026-04-04 01:46:24 | INFO | 🟢 HOLD_ADD   | ADM             | $     73.83 | Above all weekly EMAs
2026-04-04 01:46:27 | INFO | 🔴 EXIT       | ARES            | $    102.43 | Below 40W EMA
2026-04-04 01:46:29 | INFO | 🔴 EXIT       | ANET            | $    126.68 | Below 40W EMA
2026-04-04 01:46:31 | INFO | 🔴 EXIT       | AJG             | $    217.61 | Below 40W EMA
2026-04-04 01:46:33 | INFO | 🟡 WAIT       | AIZ             | $    218.26 | EMAs converging, no breakout yet
2026-04-04 01:46:35 | INFO | 🟢 HOLD_ADD   | T               | $     28.33 | Above all weekly EMAs
2026-04-04 01:46:37 | INFO | 🟢 HOLD_ADD   | ATO             | $    188.97 | Above all weekly EMAs
2026-04-04 01:46:40 | INFO | 🔴 EXIT       | ADSK            | $    238.08 | Below 40W EMA
