2026-05-23 02:29:24 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-05-23 02:29:24 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-05-23 02:29:27 | INFO | 🟡 WAIT       | MMM             | $    152.44 | EMAs converging, no breakout yet
2026-05-23 02:29:29 | INFO | 🔴 EXIT       | AOS             | $     57.28 | Below 40W EMA
2026-05-23 02:29:31 | INFO | 🔴 EXIT       | ABT             | $     87.41 | Below 40W EMA
2026-05-23 02:29:33 | INFO | 🟡 WAIT       | ABBV            | $    215.70 | EMAs converging, no breakout yet
2026-05-23 02:29:36 | INFO | 🔴 EXIT       | ACN             | $    179.24 | Below 40W EMA
2026-05-23 02:29:38 | INFO | 🔴 EXIT       | ADBE            | $    244.76 | Below 40W EMA
2026-05-23 02:29:40 | INFO | 🟢 HOLD_ADD   | AMD             | $    467.51 | Above all weekly EMAs
2026-05-23 02:29:42 | INFO | 🟢 HOLD_ADD   | AES             | $     14.68 | Above all weekly EMAs
2026-05-23 02:29:45 | INFO | 🟢 HOLD_ADD   | AFL             | $    117.86 | Above all weekly EMAs
2026-05-23 02:29:47 | INFO | 🔴 EXIT       | A               | $    114.96 | Below 40W EMA
2026-05-23 02:29:49 | INFO | 🟣 FADING     | APD             | $    289.47 | Below 10W EMA - momentum fading
2026-05-23 02:29:51 | INFO | 🟡 WAIT       | ABNB            | $    132.35 | EMAs converging, no breakout yet
2026-05-23 02:29:53 | INFO | 🟢 HOLD_ADD   | AKAM            | $    147.23 | Above all weekly EMAs
2026-05-23 02:29:56 | INFO | 🟣 FADING     | ALB             | $    171.58 | Below 10W EMA - momentum fading
2026-05-23 02:29:58 | INFO | 🔴 EXIT       | ARE             | $     48.37 | Below 40W EMA
2026-05-23 02:30:00 | INFO | 🟡 WAIT       | ALGN            | $    163.61 | EMAs converging, no breakout yet
2026-05-23 02:30:02 | INFO | 🔴 EXIT       | ALLE            | $    130.43 | Below 40W EMA
2026-05-23 02:30:04 | INFO | 🟢 HOLD_ADD   | LNT             | $     73.95 | Above all weekly EMAs
2026-05-23 02:30:07 | INFO | 🟢 HOLD_ADD   | ALL             | $    216.60 | Above all weekly EMAs
2026-05-23 02:30:09 | INFO | 🟢 HOLD_ADD   | GOOGL           | $    382.97 | Above all weekly EMAs
2026-05-23 02:30:11 | INFO | 🟢 HOLD_ADD   | GOOG            | $    379.38 | Above all weekly EMAs
2026-05-23 02:30:14 | INFO | 🟢 HOLD_ADD   | MO              | $     73.90 | Above all weekly EMAs
2026-05-23 02:30:16 | INFO | 🟢 HOLD_ADD   | AMZN            | $    266.32 | Above all weekly EMAs
2026-05-23 02:30:18 | INFO | 🔴 EXIT       | AMCR            | $     38.38 | Below 40W EMA
2026-05-23 02:30:20 | INFO | 🟢 HOLD_ADD   | AEE             | $    111.29 | Above all weekly EMAs
2026-05-23 02:30:22 | INFO | 🟢 HOLD_ADD   | AEP             | $    131.59 | Above all weekly EMAs
2026-05-23 02:30:25 | INFO | 🟡 WAIT       | AXP             | $    311.78 | EMAs converging, no breakout yet
