2026-06-13 02:59:09 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-06-13 02:59:09 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-06-13 02:59:12 | INFO | 🟡 WAIT       | MMM             | $    158.32 | EMAs converging, no breakout yet
2026-06-13 02:59:14 | INFO | 🔴 EXIT       | AOS             | $     59.08 | Below 40W EMA
2026-06-13 02:59:16 | INFO | 🔴 EXIT       | ABT             | $     88.18 | Below 40W EMA
2026-06-13 02:59:18 | INFO | 🟡 WAIT       | ABBV            | $    227.73 | EMAs converging, no breakout yet
2026-06-13 02:59:20 | INFO | 🔴 EXIT       | ACN             | $    170.28 | Below 40W EMA
2026-06-13 02:59:23 | INFO | 🔴 EXIT       | ADBE            | $    204.02 | Below 40W EMA
2026-06-13 02:59:25 | INFO | 🟢 HOLD_ADD   | AMD             | $    511.57 | Above all weekly EMAs
2026-06-13 02:59:27 | INFO | 🟢 HOLD_ADD   | AES             | $     14.68 | Above all weekly EMAs
2026-06-13 02:59:29 | INFO | 🟢 HOLD_ADD   | AFL             | $    117.80 | Above all weekly EMAs
2026-06-13 02:59:31 | INFO | 🟡 WAIT       | A               | $    129.84 | EMAs converging, no breakout yet
2026-06-13 02:59:33 | INFO | 🟡 WAIT       | APD             | $    281.62 | EMAs converging, no breakout yet
2026-06-13 02:59:36 | INFO | 🟡 WAIT       | ABNB            | $    132.28 | EMAs converging, no breakout yet
2026-06-13 02:59:38 | INFO | 🟢 HOLD_ADD   | AKAM            | $    133.50 | Above all weekly EMAs
2026-06-13 02:59:40 | INFO | 🟣 FADING     | ALB             | $    170.42 | Below 10W EMA - momentum fading
2026-06-13 02:59:42 | INFO | 🔴 EXIT       | ARE             | $     53.17 | Below 40W EMA
2026-06-13 02:59:44 | INFO | 🟡 WAIT       | ALGN            | $    174.84 | EMAs converging, no breakout yet
2026-06-13 02:59:46 | INFO | 🔴 EXIT       | ALLE            | $    133.97 | Below 40W EMA
2026-06-13 02:59:48 | INFO | 🟢 HOLD_ADD   | LNT             | $     73.11 | Above all weekly EMAs
2026-06-13 02:59:51 | INFO | 🟢 HOLD_ADD   | ALL             | $    221.63 | Above all weekly EMAs
2026-06-13 02:59:53 | INFO | 🟣 FADING     | GOOGL           | $    359.68 | Below 10W EMA - momentum fading
2026-06-13 02:59:55 | INFO | 🟣 FADING     | GOOG            | $    358.16 | Below 10W EMA - momentum fading
2026-06-13 02:59:57 | INFO | 🟢 HOLD_ADD   | MO              | $     71.94 | Above all weekly EMAs
2026-06-13 02:59:59 | INFO | 🟠 CAUTIOUS   | AMZN            | $    238.55 | Below 20W EMA
2026-06-13 03:00:01 | INFO | 🔴 EXIT       | AMCR            | $     40.60 | Below 40W EMA
2026-06-13 03:00:03 | INFO | 🟢 HOLD_ADD   | AEE             | $    109.00 | Above all weekly EMAs
2026-06-13 03:00:06 | INFO | 🟣 FADING     | AEP             | $    129.23 | Below 10W EMA - momentum fading
2026-06-13 03:00:08 | INFO | 🟡 WAIT       | AXP             | $    325.44 | EMAs converging, no breakout yet
2026-06-13 03:00:10 | INFO | 🟡 WAIT       | AIG             | $     75.74 | EMAs converging, no breakout yet
2026-06-13 03:00:12 | INFO | 🟡 WAIT       | AMT             | $    187.18 | EMAs converging, no breakout yet
2026-06-13 03:00:14 | INFO | 🟡 WAIT       | AWK             | $    126.31 | EMAs converging, no breakout yet
2026-06-13 03:00:16 | INFO | 🟡 WAIT       | AMP             | $    459.13 | EMAs converging, no breakout yet
2026-06-13 03:00:19 | INFO | 🟢 HOLD_ADD   | AME             | $    227.12 | Above all weekly EMAs
2026-06-13 03:00:21 | INFO | 🟢 HOLD_ADD   | AMGN            | $    355.20 | Above all weekly EMAs
2026-06-13 03:00:23 | INFO | 🟢 HOLD_ADD   | APH             | $    153.80 | Above all weekly EMAs
2026-06-13 03:00:25 | INFO | 🟢 HOLD_ADD   | ADI             | $    417.79 | Above all weekly EMAs
2026-06-13 03:00:27 | INFO | 🟢 HOLD_ADD   | AON             | $    335.31 | Above all weekly EMAs
2026-06-13 03:00:30 | INFO | 🟢 HOLD_ADD   | APA             | $     37.02 | Above all weekly EMAs
2026-06-13 03:00:32 | INFO | 🟡 WAIT       | APO             | $    133.88 | EMAs converging, no breakout yet
2026-06-13 03:00:34 | INFO | 🟢 HOLD_ADD   | AAPL            | $    291.13 | Above all weekly EMAs
2026-06-13 03:00:36 | INFO | 🟢 HOLD_ADD   | AMAT            | $    567.25 | Above all weekly EMAs
2026-06-13 03:00:38 | INFO | 🟡 WAIT       | APP             | $    496.77 | EMAs converging, no breakout yet
2026-06-13 03:00:40 | INFO | 🔴 EXIT       | APTV            | $     68.05 | Below 40W EMA
2026-06-13 03:00:42 | INFO | 🟡 WAIT       | ACGL            | $     91.66 | EMAs converging, no breakout yet
2026-06-13 03:00:44 | INFO | 🟢 HOLD_ADD   | ADM             | $     80.24 | Above all weekly EMAs
2026-06-13 03:00:47 | INFO | 🟢 HOLD_ADD   | ARES            | $    134.90 | Above all weekly EMAs
2026-06-13 03:00:49 | INFO | 🟢 HOLD_ADD   | ANET            | $    163.24 | Above all weekly EMAs
